Year;Name;Location;Country;Latitude;Longitude;Elevation;Type;Status;TOTAL_DEATHS
;;;;;;;;;
-4360;Macauley Island;Kermadec Is;New Zealand;-30.2;-178.47;238;Caldera;Holocene;
-4350;Kikai;Ryukyu Is;Japan;30.78;130.28;717;Caldera;Historical;
-4050;Masaya;Nicaragua;Nicaragua;11.984;-86.161;635;Caldera;Historical;
-4000;Pago;New Britain-Sw Pac;Papua New Guinea;-5.58;150.52;742;Caldera;Historical;
-3580;Taal;Luzon-Philippines;Philippines;14.002;120.993;400;Stratovolcano;Historical;
-3550;Pinatubo;Luzon-Philippines;Philippines;15.13;120.35;1486;Stratovolcano;Historical;
-2040;Long Island;New Guinea-Ne Of;Papua New Guinea;-5.358;147.12;1280;Complex Volcano;Historical;
-1900;Black Peak;Alaska Peninsula;United States;56.53;-158.8;1032;Stratovolcano;Radiocarbon;
-1890;Hudson, Cerro;Chile-S;Chile;-45.9;-72.97;1905;Stratovolcano;Historical;
-1860;St. Helens;Us-Washington;United States;46.2;-122.18;2549;Stratovolcano;Historical;
-1750;Veniaminof;Alaska Peninsula;United States;56.17;-159.38;2507;Stratovolcano;Historical;
-1645;Aniakchak;Alaska Peninsula;United States;56.88;-158.17;1341;Caldera;Historical;
-1610;Santorini;Greece;Greece;36.404;25.396;329;Shield Volcano;Historical;
-1550;Redoubt;Alaska-Sw;United States;60.48;-152.75;3108;Stratovolcano;Historical;
-1460;Taupo;New Zealand;New Zealand;-38.82;176;760;Caldera;Radiocarbon;
-1370;Pago;New Britain-Sw Pac;Papua New Guinea;-5.58;150.52;742;Caldera;Historical;
-1050;Pinatubo;Luzon-Philippines;Philippines;15.13;120.35;1486;Stratovolcano;Historical;
-250;Raoul Island;Kermadec Is;New Zealand;-29.27;-177.92;516;Stratovolcano;Historical;
-197;Santorini;Greece;Greece;36.404;25.396;329;Shield Volcano;Historical;
-150;St. Andrew Strait;Admiralty Is-Sw Paci;Papua New Guinea;-2.38;147.35;270;Complex Volcano;Historical;
-141;Etna;Italy;Italy;37.734;15.004;3350;Stratovolcano;Historical;40
-100;Okmok;Aleutian Is;United States;53.42;-168.13;1073;Shield Volcano;Historical;
-50;Apoyeque;Nicaragua;Nicaragua;12.242;-86.342;518;Pyroclastic Shield;Radiocarbon;
46;Santorini;Greece;Greece;36.404;25.396;329;Shield Volcano;Historical;
50;Ambrym;Vanuatu-Sw Pacific;Vanuatu;-16.25;168.12;1334;Pyroclastic Shield;Historical;
60;Bona-Churchill;Alaska-E;United States;61.38;-141.75;5005;Stratovolcano;Radiocarbon;
79;Vesuvius;Italy;Italy;40.821;14.426;1281;Complex Volcano;Historical;3500
200;Arhab, Harra Of;Arabia-S;Yemen;15.63;44.08;3100;Volcanic Field;Historical;
230;Taupo;New Zealand;New Zealand;-38.82;176;760;Caldera;Radiocarbon;
240;Ksudach;Kamchatka;Russia;51.8;157.53;1079;Stratovolcano;Historical;
350;Augustine;Alaska-Sw;United States;59.37;-153.42;1252;Lava Dome;Historical;
416;Krakatau;Indonesia;Indonesia;-6.102;105.423;813;Caldera;Historical;
450;Ilopango;El Salvador;El Salvador;13.672;-89.053;450;Caldera;Historical;30000
500;Arhab, Harra Of;Arabia-S;Yemen;15.63;44.08;3100;Volcanic Field;Historical;
540;Rabaul;New Britain-Sw Pac;Papua New Guinea;-4.271;152.203;688;Pyroclastic Shield;Historical;
590;San Salvador;El Salvador;El Salvador;13.736;-89.286;1893;Stratovolcano;Historical;
640;Uwayrid, Harrat;Arabia-W;Saudi Arabia;27.08;37.25;1900;Volcanic Field;Anthropology;
710;Pago;New Britain-Sw Pac;Papua New Guinea;-5.58;150.52;742;Caldera;Historical;
