Fecha; A�o ;Municipio;Paraje;Causa;Rasa;Arbolada; Total_(ha) ;X1;Y1;Latitud;Longitud
03/03/2016;2016;Almassora;Colonia Santa Quiteria;Intencionado;0.08;0; <1 ;749210;4426595;39.952804;-0.082703451
16/04/2016;2016;Aín;l'Escapulari;Negligencia;0;0.4; <1 ;726724;4420650;39.90562122;-0.347716433
04/06/2016;2016;Llucena/Lucena del Cid;El Tossal;Rayo;0.001;0; <1 ;731507;4446000;40.13246969;-0.282781281
25/07/2016;2016;Artana;Chautena;Desconocida / En investigación;109.17;1425.33;1,534.50;735256;4421242;39.90862406;-0.247799819
04/08/2016;2016;Sierra Engarcerán;Barranc d'Estela;Otras Causas;0.02;0; <1 ;752900;4456802;40.22349891;-0.027753674
28/08/2016;2016;Segorbe;Artel;Intencionado;0.6;0; <1 ;716147;4414287;39.85110982;-0.473437056
14/09/2016;2016;Alcalà de Xivert;Ametler;Rayo;0;0; <1 ;778725;4468555;40.32102556;0.280419891
29/02/2016;2016;Vall d'Uixó (la);Miramar;Negligencia;1.8;0;1.8;739021;4414024;39.8426141;-0.206441734
10/06/2016;2016;Castillo de Villamalefa;Masia Salvador;Rayo;0.003;0; <1 ;722234;4446149;40.13631261;-0.391459186
20/06/2016;2016;Vilafamés;Tossal del Navero;Otras Causas;0;3.3;3.3;754764;4445477;40.12104093;-0.010353307
06/09/2016;2016;Almenara;La Pinaeta;Rayo;0;0.005; <1 ;737133;4404127;39.75407447;-0.232059081
10/09/2016;2016;Serratella (la);Tossal del Gros;Rayo;0.002;0; <1 ;759099;4466626;40.30998879;0.048974291
10/09/2016;2016;Gaibiel;La Carrasca;Rayo;1.6;0;1.6;715052;4421716;39.91825834;-0.483780141
23/09/2016;2016;Villahermosa del Río;El Altís;Rayo;0.5;0; <1 ;720019;4450713;40.1779729;-0.415875619
24/09/2016;2016;Bejís;Las Calzadas;Rayo;0.007;0; <1 ;692050;4420780;39.91535857;-0.7529842
24/09/2016;2016;Jérica;El Sabinar;Rayo;0.005;0; <1 ;711323;4424600;39.94515699;-0.526437864
19/10/2016;2016;Pobla Tornesa (la);Cusan;Intencionado;0;0; <1 ;755548;4442671;40.09555682;-0.002274458
10/09/2016;2016;Serratella (la);Carrascal;Rayo;0;0; <1 ;757788;4467086;40.31453265;0.033752854
