"Date_Time","Major State","Major State Estado","Scat coefficient Channel 1 (RED)","Scat coefficient Channel 1 (RED) Estado","Scat coefficient Channel 2 (GREEN)","Scat coefficient Channel 2 (GREEN) Estado","Scat coefficient Channel 3 (BLUE)","Scat coefficient Channel 3 (BLUE) Estado","Backscatter Channel 1 (RED)","Backscatter Channel 1 (RED) Estado","Backscatter Channel 2 (GREEN)","Backscatter Channel 2 (GREEN) Estado","Backscatter Channel 3 (BLUE)","Backscatter Channel 3 (BLUE) Estado","Sample temperature","Sample temperature Estado","Enclosure temperature","Enclosure temperature Estado","Relative humidity","Relative humidity Estado","Atmospheric pressure","Atmospheric pressure Estado"
2023/04/13 00:00:02,0,144,6.718,144,6.482,144,8.337,144,3.229,144,3.585,144,4.551,144,26.28,144,24.34,144,25.645,144,997.865,144
2023/04/13 00:05:00,0,144,6.639,144,6.56,144,8.273,144,3.207,144,3.761,144,4.556,144,26.285,144,24.399,144,25.775,144,997.984,144
2023/04/13 00:10:01,0,144,6.568,144,6.565,144,8.235,144,3.124,144,3.743,144,4.549,144,26.247,144,24.205,144,25.918,144,998.046,144
2023/04/13 00:15:00,0,144,6.695,144,6.629,144,8.228,144,3.164,144,3.692,144,4.549,144,26.237,144,24.308,144,26.118,144,998.193,144
2023/04/13 00:20:00,0,144,6.962,144,7.395,144,8.266,144,3.136,144,3.481,144,4.547,144,26.28,144,24.446,144,26.384,144,998.271,144
2023/04/13 00:25:00,0,144,7.048,144,7.569,144,8.619,144,3.187,144,4.079,144,4.47,144,26.305,144,24.228,144,26.731,144,998.32,144
2023/04/13 00:30:00,0,144,7.016,144,7.154,144,8.601,144,3.169,144,4.272,144,4.607,144,26.256,144,24.224,144,26.944,144,998.345,144
2023/04/13 00:35:00,0,144,7.042,144,7.003,144,8.604,144,3.239,144,4.138,144,4.465,144,26.28,144,24.425,144,27.096,144,998.312,144
2023/04/13 00:40:01,0,144,7.047,144,6.969,144,8.309,144,3.101,144,4.01,144,4.674,144,26.291,144,24.33,144,27.301,144,998.266,144
2023/04/13 00:45:01,0,144,6.83,144,6.985,144,8.172,144,2.998,144,3.937,144,4.73,144,26.281,144,24.185,144,27.477,144,998.198,144
2023/04/13 00:50:01,0,144,6.784,144,6.881,144,8.138,144,3.043,144,3.843,144,4.626,144,26.249,144,24.339,144,27.65,144,998.12,144
2023/04/13 00:55:01,0,144,6.707,144,6.836,144,8.141,144,3.043,144,3.769,144,4.618,144,26.29,144,24.469,144,27.775,144,998.063,144
2023/04/13 01:00:01,0,144,6.732,144,6.843,144,8.114,144,3.051,144,3.735,144,4.673,144,26.273,144,24.219,144,27.926,144,998.003,144
2023/04/13 01:05:00,0,144,6.71,144,6.876,144,8.04,144,3.103,144,3.708,144,4.651,144,26.254,144,24.203,144,28.109,144,998.071,144
2023/04/13 01:10:01,0,144,6.692,144,6.842,144,7.995,144,3.092,144,3.687,144,4.633,144,26.247,144,24.392,144,28.271,144,998.206,144
2023/04/13 01:15:01,0,144,6.662,144,6.832,144,7.987,144,3.071,144,3.682,144,4.64,144,26.267,144,24.405,144,28.446,144,998.328,144
2023/04/13 01:20:00,0,144,6.418,144,6.82,144,7.997,144,3.097,144,3.666,144,4.643,144,26.286,144,24.183,144,28.585,144,998.337,144
2023/04/13 01:25:00,0,144,6.387,144,6.845,144,8.048,144,3.152,144,3.647,144,4.645,144,26.236,144,24.258,144,28.703,144,998.244,144
2023/04/13 01:30:00,0,144,6.371,144,6.874,144,8.059,144,3.286,144,3.623,144,4.631,144,26.252,144,24.468,144,28.865,144,998.228,144
2023/04/13 01:35:00,0,144,6.319,144,6.895,144,8.058,144,3.133,144,3.624,144,4.61,144,26.286,144,24.397,144,28.968,144,998.214,144
2023/04/13 01:40:00,0,144,6.446,144,6.892,144,8.1,144,3.094,144,3.605,144,4.59,144,26.242,144,24.167,144,29.103,144,998.163,144
2023/04/13 01:45:00,0,144,6.564,144,6.883,144,8.116,144,3.132,144,3.609,144,4.603,144,26.211,144,24.244,144,29.285,144,998.16,144
2023/04/13 01:50:00,0,144,6.581,144,6.92,144,8.142,144,3.127,144,3.602,144,4.594,144,26.23,144,24.459,144,29.479,144,998.125,144
2023/04/13 01:55:01,0,144,6.547,144,6.872,144,8.176,144,3.119,144,3.625,144,4.574,144,26.253,144,24.423,144,29.571,144,998.133,144
2023/04/13 02:00:01,0,144,6.728,144,6.986,144,8.182,144,3.161,144,3.626,144,4.589,144,26.267,144,24.164,144,29.627,144,998.152,144
2023/04/13 02:05:01,0,144,6.347,144,6.922,144,8.347,144,2.938,144,3.64,144,4.55,144,26.251,144,24.224,144,29.717,144,998.187,144
2023/04/13 02:10:01,0,144,6.517,144,6.895,144,8.608,144,2.923,144,3.565,144,4.634,144,26.229,144,24.442,144,29.818,144,998.233,144
2023/04/13 02:15:01,0,144,7.024,144,7.067,144,8.746,144,3.126,144,3.531,144,4.773,144,26.265,144,24.518,144,29.876,144,998.307,144
2023/04/13 02:20:00,0,144,6.973,144,7.565,144,8.87,144,3.159,144,3.439,144,4.588,144,26.286,144,24.234,144,29.93,144,998.282,144
2023/04/13 02:25:01,0,144,6.829,144,7.09,144,8.482,144,3.125,144,3.564,144,4.553,144,26.233,144,24.214,144,30.013,144,998.35,144
2023/04/13 02:30:00,0,144,6.849,144,7.049,144,8.341,144,3.067,144,3.652,144,4.634,144,26.245,144,24.386,144,30.091,144,998.426,144
2023/04/13 02:35:01,0,144,6.628,144,7.06,144,8.279,144,3.118,144,3.605,144,4.593,144,26.232,144,24.569,144,30.129,144,998.415,144
2023/04/13 02:40:01,0,144,6.566,144,7.1,144,8.281,144,3.186,144,3.711,144,4.58,144,26.238,144,24.375,144,30.122,144,998.44,144
2023/04/13 02:45:01,0,144,6.47,144,6.856,144,8.427,144,3.13,144,3.585,144,4.528,144,26.238,144,24.182,144,30.163,144,998.521,144
2023/04/13 02:50:00,0,144,7.101,144,6.84,144,8.43,144,3.132,144,3.529,144,4.601,144,26.236,144,24.29,144,30.214,144,998.524,144
2023/04/13 02:55:01,0,144,6.859,144,7.001,144,8.685,144,3.286,144,3.528,144,4.753,144,26.23,144,24.485,144,30.22,144,998.57,144
2023/04/13 03:00:01,0,144,6.733,144,7.031,144,8.423,144,3.24,144,3.572,144,4.707,144,26.287,144,24.617,144,30.235,144,998.665,144
2023/04/13 03:05:00,0,144,6.778,144,7.104,144,8.519,144,3.239,144,3.536,144,4.654,144,26.341,144,24.345,144,30.232,144,998.697,144
2023/04/13 03:10:00,0,144,6.945,144,7.257,144,8.603,144,3.187,144,3.493,144,4.629,144,26.286,144,24.21,144,30.245,144,998.686,144
2023/04/13 03:15:00,0,144,6.87,144,7.298,144,8.679,144,3.139,144,3.482,144,4.627,144,26.245,144,24.32,144,30.281,144,998.705,144
2023/04/13 03:20:01,0,144,7.057,144,7.421,144,8.717,144,3.103,144,3.545,144,4.594,144,26.252,144,24.524,144,30.341,144,998.79,144
2023/04/13 03:25:01,0,144,7.187,144,7.511,144,8.757,144,3.208,144,3.573,144,4.625,144,26.337,144,24.628,144,30.31,144,998.852,144
2023/04/13 03:30:00,0,144,7.021,144,7.63,144,8.828,144,3.129,144,3.63,144,4.626,144,26.346,144,24.309,144,30.32,144,998.876,144
2023/04/13 03:35:01,0,144,7.113,144,7.651,144,8.917,144,3.157,144,3.726,144,4.68,144,26.29,144,24.211,144,30.363,144,998.909,144
2023/04/13 03:40:00,0,144,7.145,144,7.676,144,9.106,144,3.164,144,3.697,144,4.688,144,26.25,144,24.322,144,30.382,144,999.001,144
2023/04/13 03:45:00,0,144,7.023,144,7.69,144,9.421,144,3.239,144,3.701,144,4.88,144,26.277,144,24.502,144,30.367,144,999.069,144
2023/04/13 03:50:00,0,144,6.774,144,7.147,144,8.596,144,3.134,144,3.414,144,4.672,144,26.293,144,24.684,144,30.285,144,999.061,144
2023/04/13 03:55:01,0,144,6.4,144,6.895,144,8.512,144,3.11,144,3.584,144,4.508,144,26.325,144,24.437,144,30.221,144,999.12,144
2023/04/13 04:00:01,0,144,6.263,144,6.381,144,8.294,144,3.127,144,3.533,144,4.448,144,26.331,144,24.227,144,30.212,144,999.281,144
2023/04/13 04:05:00,0,144,6.181,144,6.152,144,8.1,144,3.09,144,3.576,144,4.424,144,26.298,144,24.289,144,30.229,144,999.4,144
2023/04/13 04:10:01,0,144,6.049,144,6.116,144,7.934,144,3.022,144,3.459,144,4.397,144,26.255,144,24.451,144,30.191,144,999.498,144
2023/04/13 04:15:00,0,144,5.955,144,6.094,144,7.844,144,2.99,144,3.408,144,4.383,144,26.313,144,24.641,144,30.095,144,999.579,144
2023/04/13 04:20:00,0,144,5.918,144,6.073,144,7.793,144,2.982,144,3.413,144,4.393,144,26.332,144,24.553,144,29.913,144,999.628,144
