"Date_Time","Major State","Major State Estado","0°σspR","0°σspR Estado","0°σspG","0°σspG Estado","0°σspB","0°σspB Estado","10°σspR","10°σspR Estado","10°σspG","10°σspG Estado","10°σspB","10°σspB Estado","15°σspR","15°σspR Estado","15°σspG","15°σspG Estado","15°σspB","15°σspB Estado","20°σspR","20°σspR Estado","20°σspG","20°σspG Estado","20°σspB","20°σspB Estado","25°σspR","25°σspR Estado","25°σspG","25°σspG Estado","25°σspB","25°σspB Estado","30°σspR","30°σspR Estado","30°σspG","30°σspG Estado","30°σspB","30°σspB Estado","35°σspR","35°σspR Estado","35°σspG","35°σspG Estado","35°σspB","35°σspB Estado","40°σspR","40°σspR Estado","40°σspG","40°σspG Estado","40°σspB","40°σspB Estado","45°σspR","45°σspR Estado","45°σspG","45°σspG Estado","45°σspB","45°σspB Estado","50°σspR","50°σspR Estado","50°σspG","50°σspG Estado","50°σspB","50°σspB Estado","55°σspR","55°σspR Estado","55°σspG","55°σspG Estado","55°σspB","55°σspB Estado","60°σspR","60°σspR Estado","60°σspG","60°σspG Estado","60°σspB","60°σspB Estado","65°σspR","65°σspR Estado","65°σspG","65°σspG Estado","65°σspB","65°σspB Estado","70°σspR","70°σspR Estado","70°σspG","70°σspG Estado","70°σspB","70°σspB Estado","75°σspR","75°σspR Estado","75°σspG","75°σspG Estado","75°σspB","75°σspB Estado","80°σspR","80°σspR Estado","80°σspG","80°σspG Estado","80°σspB","80°σspB Estado","85°σspR","85°σspR Estado","85°σspG","85°σspG Estado","85°σspB","85°σspB Estado","90°σspR","90°σspR Estado","90°σspG","90°σspG Estado","90°σspB","90°σspB Estado","Sample temperature","Sample temperature Estado","Enclosure temperature","Enclosure temperature Estado","Relative humidity","Relative humidity Estado","Atmospheric pressure","Atmospheric pressure Estado"
2023/04/13 00:00:00,0,144,7.433,144,7.329,144,8.971,144,7.108,144,7.103,144,8.95,144,,,,,,,6.067,144,6.081,144,7.606,144,,,,,,,5.048,144,4.881,144,6.465,144,,,,,,,4.359,144,4.085,144,4.968,144,,,,,,,3.551,144,3.208,144,4.231,144,,,,,,,2.906,144,2.57,144,3.777,144,,,,,,,2.506,144,2.182,144,2.866,144,,,,,,,2.32,144,1.82,144,2.551,144,,,,,,,2.411,144,1.623,144,2.386,144,23.747,144,24.378,144,20.61,144,994.685,144
2023/04/13 00:05:00,0,144,7.39,144,7.289,144,8.929,144,7.076,144,7.054,144,8.882,144,,,,,,,6.027,144,6.031,144,7.561,144,,,,,,,5.017,144,4.836,144,6.408,144,,,,,,,4.341,144,4.052,144,4.928,144,,,,,,,3.548,144,3.201,144,4.201,144,,,,,,,2.892,144,2.55,144,3.757,144,,,,,,,2.504,144,2.156,144,2.863,144,,,,,,,2.309,144,1.817,144,2.539,144,,,,,,,2.407,144,1.616,144,2.375,144,23.747,144,24.217,144,20.466,144,994.854,144
2023/04/13 00:10:00,0,144,7.35,144,7.257,144,8.881,144,7.062,144,7.021,144,8.866,144,,,,,,,5.989,144,5.991,144,7.533,144,,,,,,,4.991,144,4.801,144,6.373,144,,,,,,,4.329,144,4.017,144,4.887,144,,,,,,,3.534,144,3.195,144,4.184,144,,,,,,,2.873,144,2.544,144,3.735,144,,,,,,,2.494,144,2.142,144,2.838,144,,,,,,,2.302,144,1.812,144,2.514,144,,,,,,,2.399,144,1.632,144,2.364,144,23.747,144,24.14,144,20.667,144,994.922,144
2023/04/13 00:15:01,0,144,7.331,144,7.228,144,8.832,144,7.021,144,6.983,144,8.832,144,,,,,,,5.955,144,5.954,144,7.493,144,,,,,,,4.961,144,4.775,144,6.346,144,,,,,,,4.31,144,3.987,144,4.884,144,,,,,,,3.528,144,3.178,144,4.178,144,,,,,,,2.861,144,2.524,144,3.717,144,,,,,,,2.488,144,2.132,144,2.833,144,,,,,,,2.303,144,1.801,144,2.507,144,,,,,,,2.394,144,1.637,144,2.348,144,23.73,144,24.344,144,20.832,144,995.041,144
2023/04/13 00:20:01,0,144,7.296,144,7.213,144,8.768,144,6.996,144,6.943,144,8.801,144,,,,,,,5.926,144,5.915,144,7.46,144,,,,,,,4.941,144,4.768,144,6.326,144,,,,,,,4.288,144,3.971,144,4.855,144,,,,,,,3.519,144,3.15,144,4.167,144,,,,,,,2.86,144,2.504,144,3.69,144,,,,,,,2.482,144,2.144,144,2.821,144,,,,,,,2.303,144,1.801,144,2.5,144,,,,,,,2.388,144,1.636,144,2.349,144,23.726,144,24.284,144,20.871,144,995.074,144
2023/04/13 00:25:00,0,144,7.281,144,7.171,144,8.736,144,6.997,144,6.917,144,8.754,144,,,,,,,5.904,144,5.868,144,7.422,144,,,,,,,4.922,144,4.738,144,6.295,144,,,,,,,4.285,144,3.943,144,4.827,144,,,,,,,3.511,144,3.135,144,4.146,144,,,,,,,2.852,144,2.493,144,3.673,144,,,,,,,2.481,144,2.14,144,2.817,144,,,,,,,2.301,144,1.803,144,2.497,144,,,,,,,2.393,144,1.634,144,2.336,144,23.726,144,24.161,144,21.071,144,995.108,144
2023/04/13 00:30:00,0,144,7.261,144,7.144,144,8.72,144,6.971,144,6.892,144,8.75,144,,,,,,,5.876,144,5.845,144,7.393,144,,,,,,,4.912,144,4.737,144,6.263,144,,,,,,,4.285,144,3.934,144,4.811,144,,,,,,,3.499,144,3.126,144,4.129,144,,,,,,,2.846,144,2.482,144,3.669,144,,,,,,,2.479,144,2.131,144,2.797,144,,,,,,,2.296,144,1.799,144,2.501,144,,,,,,,2.385,144,1.643,144,2.328,144,23.726,144,24.285,144,21.293,144,995.091,144
2023/04/13 00:35:00,0,144,7.232,144,7.128,144,8.7,144,6.948,144,6.868,144,8.713,144,,,,,,,5.85,144,5.813,144,7.362,144,,,,,,,4.889,144,4.714,144,6.241,144,,,,,,,4.265,144,3.932,144,4.786,144,,,,,,,3.494,144,3.106,144,4.109,144,,,,,,,2.843,144,2.473,144,3.66,144,,,,,,,2.469,144,2.114,144,2.793,144,,,,,,,2.289,144,1.791,144,2.49,144,,,,,,,2.379,144,1.638,144,2.325,144,23.726,144,24.401,144,21.291,144,995.058,144
2023/04/13 00:40:00,0,144,7.195,144,7.082,144,8.676,144,6.914,144,6.842,144,8.673,144,,,,,,,5.827,144,5.792,144,7.324,144,,,,,,,4.862,144,4.685,144,6.217,144,,,,,,,4.249,144,3.917,144,4.771,144,,,,,,,3.481,144,3.087,144,4.085,144,,,,,,,2.835,144,2.455,144,3.638,144,,,,,,,2.461,144,2.103,144,2.787,144,,,,,,,2.284,144,1.769,144,2.486,144,,,,,,,2.367,144,1.63,144,2.33,144,23.728,144,24.172,144,21.291,144,995.075,144
2023/04/13 00:45:00,0,144,7.161,144,7.05,144,8.648,144,6.89,144,6.808,144,8.639,144,,,,,,,5.804,144,5.763,144,7.297,144,,,,,,,4.838,144,4.659,144,6.2,144,,,,,,,4.235,144,3.897,144,4.747,144,,,,,,,3.462,144,3.071,144,4.086,144,,,,,,,2.824,144,2.447,144,3.632,144,,,,,,,2.449,144,2.094,144,2.781,144,,,,,,,2.279,144,1.774,144,2.481,144,,,,,,,2.364,144,1.625,144,2.327,144,23.705,144,24.199,144,21.494,144,994.905,144
2023/04/13 00:50:01,0,144,7.13,144,7.021,144,8.617,144,6.859,144,6.785,144,8.613,144,,,,,,,5.775,144,5.718,144,7.273,144,,,,,,,4.815,144,4.646,144,6.18,144,,,,,,,4.21,144,3.888,144,4.72,144,,,,,,,3.449,144,3.057,144,4.064,144,,,,,,,2.806,144,2.435,144,3.619,144,,,,,,,2.44,144,2.082,144,2.777,144,,,,,,,2.269,144,1.765,144,2.482,144,,,,,,,2.359,144,1.628,144,2.327,144,23.707,144,24.38,144,21.636,144,994.837,144
2023/04/13 00:55:01,0,144,7.111,144,6.979,144,8.601,144,6.833,144,6.752,144,8.581,144,,,,,,,5.747,144,5.693,144,7.243,144,,,,,,,4.801,144,4.623,144,6.16,144,,,,,,,4.198,144,3.877,144,4.704,144,,,,,,,3.434,144,3.035,144,4.053,144,,,,,,,2.795,144,2.422,144,3.606,144,,,,,,,2.431,144,2.073,144,2.769,144,,,,,,,2.256,144,1.773,144,2.469,144,,,,,,,2.353,144,1.624,144,2.329,144,23.728,144,24.336,144,21.478,144,994.803,144
2023/04/13 01:00:01,0,144,7.099,144,6.957,144,8.57,144,6.806,144,6.726,144,8.537,144,,,,,,,5.714,144,5.668,144,7.226,144,,,,,,,4.776,144,4.593,144,6.138,144,,,,,,,4.184,144,3.878,144,4.688,144,,,,,,,3.419,144,3.027,144,4.04,144,,,,,,,2.784,144,2.42,144,3.601,144,,,,,,,2.42,144,2.065,144,2.755,144,,,,,,,2.255,144,1.773,144,2.472,144,,,,,,,2.353,144,1.625,144,2.319,144,23.726,144,24.149,144,21.627,144,994.786,144
