"Date_Time","Major State","Major State Estado","Scat coefficient Channel 1 (RED)","Scat coefficient Channel 1 (RED) Estado","Scat coefficient Channel 2 (GREEN)","Scat coefficient Channel 2 (GREEN) Estado","Scat coefficient Channel 3 (BLUE)","Scat coefficient Channel 3 (BLUE) Estado","Backscatter Channel 1 (RED)","Backscatter Channel 1 (RED) Estado","Backscatter Channel 2 (GREEN)","Backscatter Channel 2 (GREEN) Estado","Backscatter Channel 3 (BLUE)","Backscatter Channel 3 (BLUE) Estado","Sample temperature","Sample temperature Estado","Enclosure temperature","Enclosure temperature Estado","Relative humidity","Relative humidity Estado","Atmospheric pressure","Atmospheric pressure Estado"
2023/05/09 00:00:00,0,144,29.36,144,33.212,144,41.545,144,5.126,144,5.455,144,5.957,144,26.512,144,24.532,144,52.955,144,1006.225,144
2023/05/09 00:05:01,0,144,29.269,144,32.996,144,41.585,144,5.11,144,5.504,144,5.986,144,26.51,144,24.42,144,52.707,144,1006.152,144
2023/05/09 00:10:00,0,144,29.288,144,33.657,144,42.022,144,5.147,144,5.695,144,6.026,144,26.449,144,24.459,144,52.678,144,1006.198,144
2023/05/09 00:15:00,0,144,29.45,144,36.966,144,44.404,144,5.169,144,6.388,144,6.455,144,26.446,144,24.624,144,52.843,144,1006.22,144
2023/05/09 00:20:00,0,144,29.592,144,37.806,144,46.918,144,5.213,144,6.362,144,6.597,144,26.535,144,24.796,144,52.558,144,1006.157,144
2023/05/09 00:25:00,0,144,29.778,144,37.756,144,47.545,144,5.299,144,6.301,144,6.625,144,26.558,144,24.668,144,52.308,144,1006.109,144
2023/05/09 00:30:00,0,144,31.727,144,38.715,144,47.98,144,5.73,144,6.201,144,6.638,144,26.545,144,24.462,144,52.177,144,1006.022,144
2023/05/09 00:35:01,0,144,32.026,144,38.874,144,48.201,144,5.741,144,6.261,144,6.684,144,26.501,144,24.424,144,51.975,144,1005.94,144
2023/05/09 00:40:01,0,144,31.935,144,39.069,144,48.431,144,5.854,144,6.399,144,6.788,144,26.464,144,24.514,144,51.81,144,1005.84,144
2023/05/09 00:45:00,0,144,31.732,144,38.981,144,48.63,144,5.857,144,6.417,144,6.856,144,26.489,144,24.673,144,51.67,144,1005.794,144
2023/05/09 00:50:01,0,144,31.892,144,39.007,144,48.845,144,5.88,144,6.459,144,6.964,144,26.491,144,24.852,144,51.748,144,1005.756,144
2023/05/09 00:55:00,0,144,32.209,144,39.219,144,49.027,144,5.938,144,6.538,144,7.057,144,26.567,144,24.759,144,51.672,144,1005.775,144
2023/05/09 01:00:00,0,144,32.308,144,39.294,144,49.239,144,5.991,144,6.563,144,7.094,144,26.534,144,24.495,144,51.508,144,1005.726,144
2023/05/09 01:05:00,0,144,32.584,144,39.336,144,49.368,144,6.031,144,6.6,144,7.144,144,26.488,144,24.403,144,51.215,144,1005.691,144
2023/05/09 01:10:00,0,144,32.451,144,39.307,144,49.401,144,6.194,144,6.618,144,7.157,144,26.476,144,24.464,144,50.996,144,1005.672,144
2023/05/09 01:15:01,0,144,32.712,144,39.299,144,49.467,144,6.261,144,6.605,144,7.163,144,26.456,144,24.617,144,51.141,144,1005.699,144
2023/05/09 01:20:01,0,144,32.509,144,39.301,144,49.506,144,6.247,144,6.633,144,7.216,144,26.509,144,24.807,144,50.968,144,1005.694,144
2023/05/09 01:25:00,0,144,32.591,144,39.401,144,49.681,144,6.196,144,6.655,144,7.248,144,26.55,144,24.819,144,51.12,144,1005.65,144
2023/05/09 01:30:00,0,144,32.671,144,39.484,144,50.57,144,6.192,144,6.782,144,7.29,144,26.598,144,24.575,144,51.218,144,1005.642,144
2023/05/09 01:35:01,0,144,32.752,144,39.719,144,51.519,144,6.261,144,6.926,144,7.371,144,26.573,144,24.44,144,51.259,144,1005.599,144
2023/05/09 01:40:01,0,144,32.703,144,39.698,144,51.248,144,6.273,144,6.87,144,7.261,144,26.487,144,24.448,144,51.275,144,1005.617,144
2023/05/09 01:45:01,0,144,32.582,144,39.43,144,50.813,144,6.246,144,6.773,144,7.217,144,26.465,144,24.565,144,51.123,144,1005.539,144
2023/05/09 01:50:01,0,144,32.436,144,38.941,144,50.397,144,6.162,144,6.675,144,7.167,144,26.46,144,24.735,144,51.146,144,1005.417,144
2023/05/09 01:55:00,0,144,32.206,144,38.486,144,48.259,144,6.101,144,6.579,144,7.034,144,26.485,144,24.859,144,50.875,144,1005.398,144
2023/05/09 02:00:00,0,144,31.934,144,38.05,144,46.947,144,6.021,144,6.502,144,6.96,144,26.537,144,24.65,144,50.686,144,1005.352,144
