"Date_Time","Major State","Major State Estado","0°σspR","0°σspR Estado","0°σspG","0°σspG Estado","0°σspB","0°σspB Estado","10°σspR","10°σspR Estado","10°σspG","10°σspG Estado","10°σspB","10°σspB Estado","15°σspR","15°σspR Estado","15°σspG","15°σspG Estado","15°σspB","15°σspB Estado","20°σspR","20°σspR Estado","20°σspG","20°σspG Estado","20°σspB","20°σspB Estado","25°σspR","25°σspR Estado","25°σspG","25°σspG Estado","25°σspB","25°σspB Estado","30°σspR","30°σspR Estado","30°σspG","30°σspG Estado","30°σspB","30°σspB Estado","35°σspR","35°σspR Estado","35°σspG","35°σspG Estado","35°σspB","35°σspB Estado","40°σspR","40°σspR Estado","40°σspG","40°σspG Estado","40°σspB","40°σspB Estado","45°σspR","45°σspR Estado","45°σspG","45°σspG Estado","45°σspB","45°σspB Estado","50°σspR","50°σspR Estado","50°σspG","50°σspG Estado","50°σspB","50°σspB Estado","55°σspR","55°σspR Estado","55°σspG","55°σspG Estado","55°σspB","55°σspB Estado","60°σspR","60°σspR Estado","60°σspG","60°σspG Estado","60°σspB","60°σspB Estado","65°σspR","65°σspR Estado","65°σspG","65°σspG Estado","65°σspB","65°σspB Estado","70°σspR","70°σspR Estado","70°σspG","70°σspG Estado","70°σspB","70°σspB Estado","75°σspR","75°σspR Estado","75°σspG","75°σspG Estado","75°σspB","75°σspB Estado","80°σspR","80°σspR Estado","80°σspG","80°σspG Estado","80°σspB","80°σspB Estado","85°σspR","85°σspR Estado","85°σspG","85°σspG Estado","85°σspB","85°σspB Estado","90°σspR","90°σspR Estado","90°σspG","90°σspG Estado","90°σspB","90°σspB Estado","Sample temperature","Sample temperature Estado","Enclosure temperature","Enclosure temperature Estado","Relative humidity","Relative humidity Estado","Atmospheric pressure","Atmospheric pressure Estado"
2023/05/09 00:00:00,0,144,20.784,144,26.258,144,33.231,144,20.247,144,25.714,144,33.296,144,,,,,,,17.976,144,22.918,144,29.09,144,,,,,,,14.979,144,18.672,144,23.906,144,,,,,,,12.266,144,15.342,144,18.976,144,,,,,,,9.757,144,11.939,144,15.039,144,,,,,,,8.14,144,9.306,144,12.012,144,,,,,,,6.472,144,7.395,144,8.988,144,,,,,,,5.358,144,5.914,144,7.188,144,,,,,,,4.809,144,4.796,144,6.127,144,23.975,144,24.476,144,30.216,144,1002.992,144
2023/05/09 00:05:01,0,144,20.775,144,26.228,144,33.203,144,20.218,144,25.698,144,33.243,144,,,,,,,17.936,144,22.91,144,29.037,144,,,,,,,14.947,144,18.639,144,23.879,144,,,,,,,12.259,144,15.344,144,18.948,144,,,,,,,9.736,144,11.949,144,15.029,144,,,,,,,8.152,144,9.296,144,11.996,144,,,,,,,6.461,144,7.385,144,8.961,144,,,,,,,5.357,144,5.9,144,7.172,144,,,,,,,4.8,144,4.786,144,6.127,144,23.955,144,24.416,144,30.381,144,1002.942,144
2023/05/09 00:10:00,0,144,20.821,144,26.266,144,33.258,144,20.239,144,25.706,144,33.298,144,,,,,,,17.959,144,22.937,144,29.07,144,,,,,,,14.959,144,18.684,144,23.917,144,,,,,,,12.26,144,15.352,144,18.964,144,,,,,,,9.743,144,11.959,144,15.039,144,,,,,,,8.151,144,9.312,144,11.989,144,,,,,,,6.469,144,7.397,144,8.972,144,,,,,,,5.349,144,5.894,144,7.189,144,,,,,,,4.8,144,4.786,144,6.127,144,23.914,144,24.518,144,30.548,144,1003.009,144
2023/05/09 00:15:00,0,144,20.917,144,26.375,144,33.372,144,20.288,144,25.792,144,33.395,144,,,,,,,18.025,144,23.041,144,29.164,144,,,,,,,15,144,18.754,144,24.036,144,,,,,,,12.308,144,15.401,144,19.041,144,,,,,,,9.759,144,12.001,144,15.081,144,,,,,,,8.201,144,9.357,144,12.029,144,,,,,,,6.487,144,7.424,144,9.021,144,,,,,,,5.362,144,5.912,144,7.206,144,,,,,,,4.806,144,4.803,144,6.138,144,23.916,144,24.733,144,30.681,144,1003.026,144
2023/05/09 00:20:01,0,144,20.977,144,26.47,144,33.487,144,20.335,144,25.857,144,33.524,144,,,,,,,18.116,144,23.114,144,29.282,144,,,,,,,15.067,144,18.81,144,24.112,144,,,,,,,12.349,144,15.446,144,19.107,144,,,,,,,9.784,144,12.077,144,15.144,144,,,,,,,8.215,144,9.405,144,12.056,144,,,,,,,6.507,144,7.453,144,9.069,144,,,,,,,5.406,144,5.938,144,7.238,144,,,,,,,4.813,144,4.804,144,6.156,144,23.957,144,24.772,144,30.083,144,1002.908,144
2023/05/09 00:25:00,0,144,21.026,144,26.549,144,33.61,144,20.377,144,25.943,144,33.675,144,,,,,,,18.176,144,23.175,144,29.391,144,,,,,,,15.107,144,18.878,144,24.201,144,,,,,,,12.388,144,15.481,144,19.173,144,,,,,,,9.814,144,12.123,144,15.213,144,,,,,,,8.242,144,9.447,144,12.099,144,,,,,,,6.533,144,7.477,144,9.109,144,,,,,,,5.428,144,5.962,144,7.265,144,,,,,,,4.815,144,4.823,144,6.192,144,23.996,144,24.549,144,29.691,144,1002.874,144
2023/05/09 00:30:00,0,144,21.113,144,26.632,144,33.706,144,20.437,144,26.033,144,33.782,144,,,,,,,18.247,144,23.267,144,29.507,144,,,,,,,15.185,144,18.962,144,24.278,144,,,,,,,12.445,144,15.532,144,19.244,144,,,,,,,9.835,144,12.158,144,15.288,144,,,,,,,8.274,144,9.481,144,12.136,144,,,,,,,6.557,144,7.499,144,9.146,144,,,,,,,5.443,144,5.985,144,7.29,144,,,,,,,4.82,144,4.828,144,6.206,144,23.975,144,24.376,144,29.975,144,1002.789,144
2023/05/09 00:35:01,0,144,21.163,144,26.696,144,33.806,144,20.495,144,26.11,144,33.898,144,,,,,,,18.288,144,23.333,144,29.596,144,,,,,,,15.233,144,19.035,144,24.343,144,,,,,,,12.485,144,15.584,144,19.333,144,,,,,,,9.858,144,12.221,144,15.374,144,,,,,,,8.285,144,9.508,144,12.155,144,,,,,,,6.583,144,7.521,144,9.163,144,,,,,,,5.454,144,5.992,144,7.309,144,,,,,,,4.829,144,4.833,144,6.222,144,23.936,144,24.385,144,30.057,144,1002.738,144
2023/05/09 00:40:00,0,144,21.207,144,26.773,144,33.918,144,20.549,144,26.169,144,33.982,144,,,,,,,18.332,144,23.396,144,29.699,144,,,,,,,15.297,144,19.097,144,24.41,144,,,,,,,12.537,144,15.643,144,19.402,144,,,,,,,9.877,144,12.253,144,15.421,144,,,,,,,8.318,144,9.538,144,12.187,144,,,,,,,6.603,144,7.554,144,9.205,144,,,,,,,5.474,144,6.01,144,7.349,144,,,,,,,4.847,144,4.85,144,6.252,144,23.914,144,24.538,144,30.074,144,1002.602,144
2023/05/09 00:45:00,0,144,21.247,144,26.85,144,34.019,144,20.601,144,26.246,144,34.107,144,,,,,,,18.375,144,23.457,144,29.801,144,,,,,,,15.34,144,19.166,144,24.486,144,,,,,,,12.563,144,15.695,144,19.467,144,,,,,,,9.893,144,12.319,144,15.489,144,,,,,,,8.338,144,9.579,144,12.219,144,,,,,,,6.631,144,7.583,144,9.235,144,,,,,,,5.488,144,6.036,144,7.383,144,,,,,,,4.871,144,4.857,144,6.279,144,23.916,144,24.757,144,30.096,144,1002.552,144
