"date","RH3000","RH4000"
2023-03-14 17:20:00,16.474,16.432
2023-03-14 17:25:00,16.683,16.501
2023-03-14 17:30:00,16.802,16.554
2023-03-14 17:35:00,16.933,16.572
2023-03-14 17:40:00,17.017,16.574
2023-03-14 17:45:00,16.974,16.554
2023-03-14 17:50:00,17.027,16.554
2023-03-14 17:55:00,17.028,16.572
2023-03-14 18:00:00,16.953,16.529
2023-03-14 18:05:00,16.843,16.354
2023-03-14 18:10:00,16.792,16.27
2023-03-14 18:15:00,16.8,16.27
2023-03-14 18:20:00,16.787,16.27
2023-03-14 18:25:00,16.743,16.212
2023-03-14 18:30:00,16.511,16.071
2023-03-14 18:35:00,16.378,16.05
2023-03-14 18:40:00,16.408,16.008
2023-03-14 18:45:00,16.415,15.965
2023-03-14 18:50:00,16.368,15.947
2023-03-14 18:55:00,16.402,15.986
2023-03-14 19:00:00,16.471,16.068
2023-03-14 19:05:00,16.6,16.189
2023-03-14 19:10:00,16.706,16.279
2023-03-14 19:15:00,16.757,16.229
2023-03-14 19:20:00,16.798,16.291
2023-03-14 19:25:00,16.873,16.38
2023-03-14 19:30:00,16.923,16.281
2023-03-14 19:35:00,16.994,16.412
2023-03-14 19:40:00,17.082,16.55
2023-03-14 19:45:00,17.242,16.591
2023-03-14 19:50:00,17.354,16.575
2023-03-14 19:55:00,17.421,16.692
2023-03-14 20:00:00,17.477,16.772
2023-03-14 20:05:00,17.512,16.714
2023-03-14 20:10:00,17.53,16.653
2023-03-14 20:15:00,17.551,16.731
2023-03-14 20:20:00,17.553,16.783
2023-03-14 20:25:00,17.552,16.701
2023-03-14 20:30:00,17.477,16.572
2023-03-14 20:35:00,17.475,16.632
2023-03-14 20:40:00,17.461,16.65
2023-03-14 20:45:00,17.436,16.632
2023-03-14 20:50:00,17.443,16.508
2023-03-14 20:55:00,17.401,16.55
2023-03-14 21:00:00,17.412,16.611
2023-03-14 21:05:00,17.396,16.625
2023-03-14 21:10:00,17.355,16.43
2023-03-14 21:15:00,17.303,16.451
2023-03-14 21:20:00,17.296,16.513
2023-03-14 21:25:00,17.272,16.529
2023-03-14 21:30:00,17.238,16.4
2023-03-14 21:35:00,17.222,16.369
2023-03-14 21:40:00,17.229,16.451
2023-03-14 21:45:00,17.254,16.508
2023-03-14 21:50:00,17.25,16.531
2023-03-14 21:55:00,17.288,16.389
2023-03-14 22:00:00,17.309,16.451
2023-03-14 22:05:00,17.283,16.49
2023-03-14 22:10:00,17.235,16.51
2023-03-14 22:15:00,17.293,16.511
2023-03-14 22:20:00,17.389,16.488
2023-03-14 22:25:00,17.485,16.634
2023-03-14 22:30:00,17.503,16.662
2023-03-14 22:35:00,17.449,16.671
